OID_,station,line,line_1,POINT_X,POINT_Y
42,St Clair West,Yonge-University,1.000000000000000,-79.415524426000005,43.683700909999999
43,Dupont,Yonge-University,1.000000000000000,-79.407313049999999,43.674800945000001
44,Museum,Yonge-University,1.000000000000000,-79.393731641000002,43.667212513999999
45,Queen's Park,Yonge-University,1.000000000000000,-79.390699978000001,43.659788798000001
46,St Patrick,Yonge-University,1.000000000000000,-79.388514008000001,43.654744649000001
47,Osgoode,Yonge-University,1.000000000000000,-79.386829953000003,43.650814435999997
48,St Andrew,Yonge-University,1.000000000000000,-79.384995001999997,43.647601240999997
49,Union,Yonge-University,1.000000000000000,-79.380694392999999,43.645664889999999
50,King,Yonge-University,1.000000000000000,-79.378120777999996,43.649110941000004
51,Queen,Yonge-University,1.000000000000000,-79.379455679000003,43.652393312999997
52,Dundas,Yonge-University,1.000000000000000,-79.381123654999996,43.656277584000001
53,College,Yonge-University,1.000000000000000,-79.383313130999994,43.661307158000000
54,Wellesley,Yonge-University,1.000000000000000,-79.383695521999996,43.665093566000003
55,Rosedale,Yonge-University,1.000000000000000,-79.388772395999993,43.677128586000002
56,Summerhill,Yonge-University,1.000000000000000,-79.390913388000001,43.682108589999999
57,St Clair,Yonge-University,1.000000000000000,-79.393589409000001,43.688188609999997
58,Davisville,Yonge-University,1.000000000000000,-79.397541379000003,43.698088362999997
59,Eglinton,Yonge-University,1.000000000000000,-79.398622359000001,43.706765595999997
60,Lawrence,Yonge-University,1.000000000000000,-79.402403683000003,43.725028561000002
61,York Mills,Yonge-University,1.000000000000000,-79.406415409000005,43.744225634000003
62,Sheppard,Yonge-University,1.000000000000000,-79.411104746000007,43.761474915999997
63,North York Centre,Yonge-University,1.000000000000000,-79.412735717000004,43.767837366000002
64,Finch,Yonge-University,1.000000000000000,-79.415772004999994,43.780682364999997
65,Spadina North,Yonge-University,1.000000000000000,-79.405529763000004,43.670252814999998
66,Bayview,Sheppard,4.000000000000000,-79.388257361000001,43.766544641000003
67,Leslie,Sheppard,4.000000000000000,-79.364339368000003,43.771598607999998
68,Bessarion,Sheppard,4.000000000000000,-79.376851071999994,43.769153336000002
69,Don Mills,Sheppard,4.000000000000000,-79.347243483000000,43.775060926999998
70,Vaughan Met. Centre,Yonge-University,0.000000000000000,-79.526543035000003,43.793593305999998
71,Highway 407,Yonge-University,0.000000000000000,-79.523119077000004,43.783519880000000
72,Pioneer Village,Yonge-University,0.000000000000000,-79.511003435000006,43.777798601000001
73,York University,Yonge-University,0.000000000000000,-79.499453431000006,43.773548601000002
74,Finch West,Yonge-University,0.000000000000000,-79.490993427999996,43.763498599999998
75,Downsview Park,Yonge-University,0.000000000000000,-79.478423606000007,43.754026869999997
