date,line,time,day,location,incident,min_delay,min_gap,bound,day_type,rush_type,season,is_holiday,Year,Month,Day,Max Temp (°C),Min Temp (°C),Total Precip (mm),Snow on Grnd (cm)
2024-01-02,510,03:09:00,Tuesday,QUEENS QUAY AND BAY,Mechanical,26,41,E,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,501,04:51:00,Tuesday,RONCESVALLES YARD,General Delay,4,12,W,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,501,05:22:00,Tuesday,RONCESVALLES YARD,Operations,8,16,NA,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,306,05:33:00,Tuesday,KINGSTON LOOP,Security,0,0,NA,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,504,05:34:00,Tuesday,KING AND CLOSE,Collision - TTC Involved,10,20,E,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,507,05:43:00,Tuesday,LONG BRANCH LOOP,Mechanical,10,20,E,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,503,06:07:00,Tuesday,RUSSELL DIVISION,Operations,9,18,N,Weekday,morning,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,510,06:43:00,Tuesday,LESLIE CARHOUSE,Operations,10,20,NA,Weekday,morning,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,504,06:48:00,Tuesday,KING AND QUEEN,Security,10,20,W,Weekday,morning,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,506,07:17:00,Tuesday,GERRARD AND BROADVIEW,General Delay,10,20,E,Weekday,morning,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,507,07:53:00,Tuesday,LESLIE DIVISION,Operations,10,20,NA,Weekday,morning,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,510,08:34:00,Tuesday,QUEENS QUAY AND REESE,General Delay,10,20,NA,Weekday,morning,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,510,08:39:00,Tuesday,SPADINA AND QUEEN'S QU,Emergency Services,10,20,NA,Weekday,morning,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,504,09:48:00,Tuesday,KING AND SHAW.,Investigation,0,0,E,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,505,12:31:00,Tuesday,QUEEN AND KINGSTON,Emergency Services,10,20,E,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,503,12:46:00,Tuesday,QUEEN AND KINGSTON,Security,7,15,E,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,505,12:55:00,Tuesday,QUEEN AND COXWELL,Cleaning - Unsanitary,10,20,W,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,503,13:16:00,Tuesday,KING AND SUMAC,Rail/Switches,0,0,E,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,501,13:31:00,Tuesday,QUEEN AND SPADINA,Operations,3,8,E,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,510,13:59:00,Tuesday,969 QUEEN ST E,Operations,10,20,N,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,512,14:40:00,Tuesday,LANSDOWNE AND ST. CLAI,Mechanical,6,12,W,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,501,14:43:00,Tuesday,BROADVIEW AND MOUNTSTE,Operations,6,12,E,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,501,15:30:00,Tuesday,CHURCH AND KING,Operations,28,38,S,Weekday,evening,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,505,16:39:00,Tuesday,DUNDAS WEST STATION,Operations,10,20,E,Weekday,evening,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,512,16:49:00,Tuesday,QUEENSWAY GARAGE,Mechanical,6,12,E,Weekday,evening,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,510,18:23:00,Tuesday,QUEENS QUAY LOOP,Security,10,20,S,Weekday,evening,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,509,18:33:00,Tuesday,BATHURST AND QUEENS QU,General Delay,0,0,W,Weekday,evening,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,506,20:07:00,Tuesday,HOWARD PARK AND RONCES,Cleaning - Unsanitary,10,20,W,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,504,20:23:00,Tuesday,DISTRILLERY LOOP,Emergency Services,10,20,NA,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,501,20:42:00,Tuesday,QUEEN AND JOHN,Cleaning - Unsanitary,10,20,E,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,510,20:53:00,Tuesday,SPADINA STATION,Security,10,20,NA,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,504,00:07:00,Tuesday,KING AND SPADINA,Utilized Off Route,10,20,W,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,504,00:37:00,Tuesday,KING AND QUEEN,Utilized Off Route,10,20,W,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,504,00:40:00,Tuesday,KING AND CHARLOTTE,Held By,20,30,E,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,504,00:40:00,Tuesday,KING AND CHARLOTTE STR,Diversion,20,30,E,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,503,00:43:00,Tuesday,KING AND PETER ST,Diversion,20,30,NA,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,505,00:57:00,Tuesday,LANSDOWNE LOOP,Emergency Services,0,0,NA,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,504,01:06:00,Tuesday,QUEEN AND LESLIE,Emergency Services,0,0,E,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,501,01:16:00,Tuesday,QUEEN AND LESLIE,Diversion,20,30,E,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,503,01:18:00,Tuesday,QUEEN AND LESLIE,Diversion,20,30,E,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,505,01:28:00,Tuesday,LANSDOWNE LOOP,Emergency Services,10,20,NA,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-02,505,01:43:00,Tuesday,QUEEN AND EASTERN,Security,0,0,NA,Weekday,none,Winter,0,2024,01,02,1.5,-1.5,0,0
2024-01-03,504,02:02:00,Wednesday,DUNDAS WEST STATION,Security,10,20,W,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,301,02:49:00,Wednesday,LONG BRANCH LOOP,Held By,17,34,NA,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,504,04:55:00,Wednesday,CHURCH AND ADELAIDE,Mechanical,7,15,E,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,501,05:32:00,Wednesday,NEVILLE PARK LOOP,Security,0,0,NA,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,501,05:34:00,Wednesday,BATHURST AND BANNOCKBU,Mechanical,7,15,S,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,512,05:53:00,Wednesday,ST CLAIR STATION,Operations,6,12,W,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,510,06:32:00,Wednesday,FERRY DOCKS STATION,Security,7,17,NA,Weekday,morning,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,509,06:35:00,Wednesday,QUEENS QUAY AND REES,Diversion,10,19,E,Weekday,morning,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,501,06:38:00,Wednesday,MCCAUL AND QUEEN,Security,15,23,E,Weekday,morning,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,509,06:48:00,Wednesday,QUEENS QUAY STATION,General Delay,0,0,E,Weekday,morning,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,506,07:24:00,Wednesday,RONCESVALLES YARD,Operations,7,14,NA,Weekday,morning,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,501,07:48:00,Wednesday,QUEEN AND BEECH,Operations,7,15,W,Weekday,morning,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,504,07:52:00,Wednesday,BERKERLEY AND KING,Emergency Services,6,12,N,Weekday,morning,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,505,09:15:00,Wednesday,QUEEN AND KINGSTON,Cleaning - Unsanitary,10,20,N,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,503,10:16:00,Wednesday,QUEEN AND WOODFIELD,General Delay,10,20,W,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,501,10:22:00,Wednesday,QUEEN AND WOODFIELD,Operations,8,16,W,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,504,11:23:00,Wednesday,KING AND SHERBOURNE,Operations,6,12,E,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,501,11:49:00,Wednesday,MUNRO AND GERRARD,Cleaning - Unsanitary,8,16,W,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,503,11:55:00,Wednesday,CHARLOTTE LOOP,Security,23,33,NA,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,506,12:01:00,Wednesday,MAIN STREET STATION,Cleaning - Unsanitary,10,20,S,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,512,12:14:00,Wednesday,ST CLAIR AND ALVIN,Emergency Services,5,10,W,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,506,13:16:00,Wednesday,BROADVIEW AND DUNDAS,Rail/Switches,0,0,N,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,501,13:31:00,Wednesday,361 BROADVIEW AVE,Operations,3,8,E,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,504,14:08:00,Wednesday,RONCESVALLES AND MARMA,Investigation,10,20,N,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,504,14:12:00,Wednesday,CASTLE FRANK STATION,Investigation,6,12,NA,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,504,14:55:00,Wednesday,KING AND QUEEN,Emergency Services,10,20,W,Weekday,none,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,505,15:06:00,Wednesday,DUNDAS AND OSSINGTON,Cleaning - Unsanitary,10,20,E,Weekday,evening,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,504,16:47:00,Wednesday,DUNDAS WEST STATION,Cleaning - Unsanitary,10,20,W,Weekday,evening,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,506,16:55:00,Wednesday,HOWARD AND RONCEVALLES,Mechanical,10,20,N,Weekday,evening,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,507,16:59:00,Wednesday,LAKESHORE AND TWENTY S,Diversion,123,133,W,Weekday,evening,Winter,0,2024,01,03,3.1,0.6,0,0
2024-01-03,508,17:07:00,Wednesday,LAKESHORE AND KIPLING,Diversion,109,119,NA,Weekday,evening,Winter,0,2024,01,03,3.1,0.6,0,0
